spine,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,StnX,StnY,X0,Y0,X,Y,
0,0.454608142,0.658018231,-1.672047615,0.999688447,0.493533611,0.571466744,-1.585650325,0.999588907,0.516780853,0.57050699,-1.58613658,0.999513745,0.537274241,0.569931567,-1.58631897,0.999564767,0.415412277,0.574364662,-1.592765689,0.999575615,0.389022648,0.575335681,-1.59218502,0.999495208,0.36775738,0.578149676,-1.592720747,0.999576151,0.578421295,0.600062191,-0.947313309,0.999571145,0.345152438,0.6174649,-0.968396783,0.999645829,0.506067514,0.750961661,-1.424926758,0.999740243,0.417665303,0.753302395,-1.432263494,0.999726355,0.738775551,0.954011679,-0.461171061,0.995234549,0.208188817,0.978489876,-0.535902977,0.992214799,7,-17,7,-23,0,-6,
0,0.446626127,0.657344997,-1.560523629,0.998810589,0.487035811,0.570325434,-1.489475965,0.999008656,0.512812972,0.568939507,-1.490430117,0.998952806,0.533229649,0.568045795,-1.491005778,0.99908936,0.405410945,0.57411015,-1.474004865,0.998749673,0.379090637,0.575376272,-1.473826766,0.998505294,0.360480964,0.578568876,-1.474139929,0.998593628,0.576521575,0.596942365,-0.918631434,0.999248981,0.340872645,0.6178056,-0.833510399,0.998616338,0.502821505,0.749370456,-1.335632086,0.999077022,0.411289126,0.753699064,-1.314613819,0.998615384,0.748192549,0.955099463,-0.559977353,0.989290118,0.226556748,0.988701582,-0.267444104,0.962882161,7,-17,8,-24,1,-7,
0,0.4480474,0.659509718,-1.474595189,0.997951925,0.488429874,0.572811961,-1.405893564,0.998251259,0.513868034,0.571524203,-1.406573534,0.998001635,0.534902573,0.570643067,-1.407073379,0.99832952,0.407212347,0.576617599,-1.389769554,0.997832954,0.3812356,0.577814341,-1.38924551,0.997345448,0.361858785,0.580928683,-1.389615178,0.997670889,0.577791452,0.598565936,-0.873285413,0.998433053,0.34328571,0.619245291,-0.779803157,0.997485399,0.503402948,0.74998194,-1.26931262,0.998540521,0.412432849,0.755286157,-1.243041754,0.997925401,0.747017741,0.95443517,-0.554217219,0.983375549,0.244288802,0.991991043,-0.276849449,0.956457734,7,-17,8,-24,1,-7,
0,0.453223765,0.653989375,-1.410491824,0.998584986,0.493560612,0.569856286,-1.331004262,0.998477697,0.516997457,0.56953305,-1.331800461,0.998183012,0.537915349,0.568934202,-1.332227826,0.99843955,0.412706673,0.572229445,-1.32965374,0.998262107,0.385812461,0.572817206,-1.328964829,0.997906268,0.365047783,0.574840307,-1.329431295,0.998283327,0.578224301,0.596847594,-0.765884399,0.998255312,0.344819665,0.612057984,-0.739400864,0.998198807,0.50415653,0.743564427,-1.197062135,0.998965681,0.413335025,0.744432747,-1.190654397,0.998793483,0.733929932,0.964880288,-0.4114604,0.985464394,0.226222128,0.983616531,-0.288812041,0.97955507,7,-17,8,-24,1,-7,
0,0.450490624,0.651650786,-1.408229947,0.998129547,0.491907924,0.568806529,-1.333972454,0.997989357,0.515903533,0.568144143,-1.334779859,0.997637868,0.536761701,0.567847431,-1.335338831,0.997990012,0.4105286,0.572887361,-1.319496155,0.99768728,0.38400048,0.574367285,-1.318858624,0.997219503,0.363959849,0.577219903,-1.31930685,0.997731149,0.577217698,0.597025871,-0.791266322,0.997727036,0.343553931,0.615058541,-0.703727126,0.99766475,0.503313243,0.7416839,-1.202157259,0.998749435,0.411881536,0.743852675,-1.178310633,0.998596489,0.736282527,0.958470762,-0.468205124,0.983864784,0.229951903,0.985202372,-0.223498791,0.977352619,7,-17,7,-23,0,-6,
0,0.457583845,0.665046573,-1.42586112,0.999162972,0.495316684,0.579057992,-1.357911348,0.998955607,0.519150555,0.576467693,-1.358481646,0.998797119,0.538809299,0.574354172,-1.358827353,0.998890698,0.414579958,0.584514201,-1.343738198,0.998826802,0.387765706,0.585289598,-1.342927456,0.998670697,0.369607747,0.587642133,-1.343394518,0.998831213,0.580977738,0.601328194,-0.83627969,0.998742342,0.345008433,0.624740601,-0.751736045,0.998838484,0.509197712,0.754168093,-1.227725863,0.999405086,0.415619075,0.756546199,-1.203962445,0.999325931,0.737940431,0.967078865,-0.476969957,0.988024116,0.244730547,0.977446556,-0.311029792,0.984145761,7,-17,7,-23,0,-6,
0,0.458342165,0.652591527,-1.459765434,0.999695122,0.502949595,0.559821427,-1.380712748,0.999613166,0.528964937,0.558913469,-1.381429315,0.999553561,0.550538003,0.5592767,-1.381624341,0.999547005,0.410930097,0.565334857,-1.37198782,0.999589026,0.383950979,0.568045199,-1.371149778,0.999560535,0.366223276,0.571077466,-1.371604323,0.999599397,0.593253255,0.600923121,-0.8284356,0.999520719,0.340354741,0.614857733,-0.771051228,0.999642372,0.514605761,0.745348692,-1.259317636,0.9997558,0.408649296,0.749043107,-1.243597388,0.999756932,0.7511397,0.995688081,-0.491961569,0.983798504,0.236476213,1.005362153,-0.347805291,0.985709727,7,-17,7,-23,0,-6,
0,0.44113645,0.666198134,-1.410871029,0.999475896,0.487081438,0.571270764,-1.338735819,0.99931407,0.517104328,0.569405615,-1.339314699,0.999257684,0.538232803,0.569408238,-1.339581251,0.999248505,0.396837711,0.577879548,-1.321895361,0.999246538,0.373109162,0.580256104,-1.321058273,0.999198496,0.354426295,0.583764315,-1.321468353,0.999227822,0.583658099,0.607660592,-0.801973343,0.999245524,0.334103107,0.624005437,-0.705632448,0.999284685,0.504013479,0.757839918,-1.206126928,0.99963671,0.395880431,0.763445914,-1.180607677,0.999585569,0.743508697,0.986478925,-0.491445959,0.987612963,0.238126516,0.978659213,-0.261788309,0.987779915,7,-17,7,-23,0,-6,
0,0.433851957,0.667474926,-1.392247915,0.999357045,0.477088064,0.574346602,-1.319871783,0.999182701,0.507586837,0.572373748,-1.320468187,0.999107063,0.530385375,0.572263479,-1.320762396,0.999076128,0.389029324,0.5814659,-1.300431967,0.999135971,0.365651935,0.584289551,-1.299533963,0.999099851,0.347195029,0.588251352,-1.299895644,0.999126315,0.578380585,0.609104037,-0.803324044,0.999066412,0.333195776,0.628090084,-0.682462692,0.99918133,0.498372167,0.761092186,-1.196673989,0.999497533,0.39174217,0.765867651,-1.164006472,0.999448359,0.751751542,0.990354478,-0.487830162,0.981159687,0.244947523,0.999976039,-0.30173701,0.981833577,7,-17,7,-23,0,-6,
1,0.613451421,0.723263919,-1.70629406,0.999141991,0.669352174,0.645786405,-1.640807152,0.998842776,0.694505095,0.65100354,-1.641093612,0.998453856,0.716603935,0.656708956,-1.641360044,0.99846673,0.590690076,0.622054338,-1.66444087,0.998946488,0.564530849,0.6093117,-1.663876534,0.998853683,0.54087311,0.597980261,-1.664370179,0.99905318,0.733451486,0.679035306,-1.058185577,0.998218894,0.490388095,0.613528132,-1.160215378,0.999203682,0.633200705,0.819437027,-1.473484874,0.99939096,0.559178412,0.784207463,-1.50299263,0.999546289,0.799341917,0.955077052,-0.578126907,0.987099707,0.321692735,0.95842278,-0.682011306,0.991053939,7,-17,6,-22,-1,-5,
1,0.659455419,0.735449493,-1.984177232,0.99720633,0.713894665,0.6603688,-1.914123535,0.996646762,0.737441897,0.664052606,-1.914582253,0.99518317,0.758987308,0.668091416,-1.914802909,0.994831383,0.631965101,0.639026999,-1.957076788,0.997686803,0.603690028,0.627071798,-1.957553267,0.997672558,0.57963711,0.615152478,-1.958108664,0.998191893,0.77312237,0.686766803,-1.303512931,0.994015574,0.5231179,0.62014097,-1.502332568,0.99863714,0.678589463,0.829491854,-1.735003233,0.996352911,0.598705888,0.792467177,-1.795214295,0.998329043,0.826033771,0.947910905,-0.813589752,0.924316287,0.344724476,0.956707835,-0.928472698,0.974852562,7,-17,5,-23,-2,-6,
1,0.660268366,0.735710502,-2.003142834,0.997202933,0.714703083,0.660613239,-1.935612917,0.996713638,0.738636374,0.664174914,-1.936106682,0.995284557,0.760513544,0.668147087,-1.936362267,0.994969308,0.632517576,0.639869869,-1.975580573,0.997728705,0.604380488,0.628336608,-1.976060867,0.997711062,0.580342233,0.616903067,-1.976573706,0.998223424,0.775416493,0.686678112,-1.330199599,0.994220078,0.52406472,0.622302592,-1.515755892,0.998655438,0.680282235,0.829454422,-1.755307198,0.996274412,0.600298285,0.793265104,-1.811663985,0.998250723,0.832255363,0.946037591,-0.839815259,0.923247635,0.346963376,0.956909239,-0.92244041,0.973412514,7,-17,3,-21,-4,-4,
1,0.659372211,0.732358277,-1.948274612,0.997444451,0.713033676,0.657754242,-1.893318415,0.996770799,0.738491893,0.662514806,-1.893773437,0.995414019,0.76121819,0.667486906,-1.894123793,0.995138586,0.635539651,0.6349141,-1.918045402,0.997704148,0.608457088,0.623896897,-1.917773485,0.997741938,0.584355295,0.612946272,-1.918267488,0.998259544,0.779489279,0.686217725,-1.328596473,0.994254053,0.528482199,0.617787242,-1.428644776,0.998687387,0.677708507,0.828406453,-1.714967966,0.996953726,0.601492345,0.794950545,-1.746838927,0.998476684,0.8420434,0.952487648,-0.809174895,0.940904677,0.349074543,0.945117831,-0.851184368,0.981464505,7,-17,4,-22,-3,-5,
1,0.658854127,0.730992556,-1.938875198,0.997480094,0.711919546,0.65561676,-1.885231733,0.996830106,0.737871706,0.660462499,-1.885748506,0.995513499,0.761061668,0.66564399,-1.886138678,0.995256543,0.635039449,0.63311398,-1.907895088,0.997721076,0.608236909,0.622505546,-1.90765512,0.997755885,0.583723605,0.611973226,-1.908167243,0.998267889,0.779505789,0.685420215,-1.322781682,0.99442637,0.527867496,0.617610216,-1.417576075,0.998710036,0.677308381,0.82762152,-1.707761526,0.997099698,0.601334214,0.794921935,-1.73681736,0.998530805,0.843573689,0.954640925,-0.799381435,0.944019794,0.349523008,0.949183583,-0.83622992,0.982407093,7,-17,4,-22,-3,-5,
1,0.657526433,0.73036778,-1.921913862,0.997441769,0.709755301,0.65489465,-1.866090775,0.996783674,0.736241281,0.659777045,-1.866617203,0.995448947,0.76015687,0.665025353,-1.86696434,0.995205879,0.633826077,0.632357776,-1.892261267,0.997673035,0.60737431,0.62191695,-1.892105341,0.997707009,0.582198203,0.611601532,-1.892672896,0.99824053,0.779448092,0.685278237,-1.299912333,0.994381011,0.526445985,0.617593825,-1.407989979,0.998699903,0.675904691,0.827391386,-1.688243508,0.997139394,0.600475013,0.794947922,-1.721972823,0.998538852,0.844413877,0.958488762,-0.771175265,0.945168555,0.349496901,0.953522027,-0.840574622,0.98292172,7,-17,4,-22,-3,-5,
